codigo_subclasse,descricao,codigo_classe,codigo_grupo,codigo_divisao,secao,versao_cnae
1011-2/02,Frigorífico - abate de equinos,10.11-2,10.1,10,C,2.3
1011-2/03,Frigorífico - abate de ovinos e caprinos,10.11-2,10.1,10,C,2.3
1011-2/04,Frigorífico - abate de bufalinos,10.11-2,10.1,10,C,2.3
1011-2/05,"Matadouro - abate de reses sob contrato, exceto abate de suínos",10.11-2,10.1,10,C,2.3
1012-1/01,Abate de aves,10.12-1,10.1,10,C,2.3
1012-1/02,Abate de pequenos animais,10.12-1,10.1,10,C,2.3
1012-1/03,Frigorífico - abate de suínos,10.12-1,10.1,10,C,2.3
1012-1/04,Matadouro - abate de suínos sob contrato,10.12-1,10.1,10,C,2.3
1013-9/01,Fabricação de produtos de carne,10.13-9,10.1,10,C,2.3
1013-9/02,Preparação de subprodutos do abate,10.13-9,10.1,10,C,2.3
1020-1/01,"Preservação de peixes, crustáceos e moluscos",10.20-1,10.2,10,C,2.3
1020-1/02,"Fabricação de conservas de peixes, crustáceos e moluscos",10.20-1,10.2,10,C,2.3
1031-7/00,Fabricação de conservas de frutas,10.31-7,10.3,10,C,2.3
1032-5/01,Fabricação de conservas de palmito,10.32-5,10.3,10,C,2.3
1032-5/99,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",10.32-5,10.3,10,C,2.3
1033-3/01,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",10.33-3,10.3,10,C,2.3
1033-3/02,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",10.33-3,10.3,10,C,2.3
1041-4/00,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",10.41-4,10.4,10,C,2.3
1042-2/00,"Fabricação de óleos vegetais refinados, exceto óleo de milho",10.42-2,10.4,10,C,2.3
1043-1/00,Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais,10.43-1,10.4,10,C,2.3
1051-1/00,Preparação do leite,10.51-1,10.5,10,C,2.3
1052-0/00,Fabricação de laticínios,10.52-0,10.5,10,C,2.3
1053-8/00,Fabricação de sorvetes e outros gelados comestíveis,10.53-8,10.5,10,C,2.3
1061-9/01,Beneficiamento de arroz,10.61-9,10.6,10,C,2.3
1061-9/02,Fabricação de produtos do arroz,10.61-9,10.6,10,C,2.3
1062-7/00,Moagem de trigo e fabricação de derivados,10.62-7,10.6,10,C,2.3
1063-5/00,Fabricação de farinha de mandioca e derivados,10.63-5,10.6,10,C,2.3
1064-3/00,"Fabricação de farinha de milho e derivados, exceto óleos de milho",10.64-3,10.6,10,C,2.3
